Age,Durations 0+,,qx
20,0.000203,0.000084,0.000084
21,0.000202,0.000084,0.000084
22,0.000202,0.000084,0.000084
23,0.000202,0.000084,0.000084
24,0.000202,0.000084,0.000084
25,0.000203,0.000084,0.000084
26,0.000204,0.000085,0.000085
27,0.000206,0.000085,0.000085
28,0.000209,0.000087,0.000087
29,0.000212,0.000088,0.000088
30,0.000217,0.00009,0.00009
31,0.000222,0.000092,0.000092
32,0.00023,0.000095,0.000095
33,0.000238,0.000099,0.000099
34,0.000249,0.000103,0.000103
35,0.000263,0.000109,0.000109
36,0.000279,0.000116,0.000116
37,0.000298,0.000124,0.000124
38,0.000321,0.000133,0.000133
39,0.000349,0.000145,0.000145
40,0.000382,0.000158,0.000158
41,0.000421,0.000175,0.000175
42,0.000468,0.000194,0.000194
43,0.000522,0.000216,0.000216
44,0.000586,0.000243,0.000243
45,0.000662,0.000274,0.000274
46,0.00075,0.000311,0.000311
47,0.000852,0.000353,0.000353
48,0.000972,0.000403,0.000403
49,0.00111,0.00046,0.00046
50,0.001271,0.000527,0.000527
51,0.001456,0.000603,0.000603
52,0.00167,0.000692,0.000692
53,0.001917,0.000795,0.000795
54,0.0022,0.000912,0.000912
55,0.002524,0.001046,0.001046
56,0.002894,0.001199,0.001199
57,0.003317,0.001375,0.001375
58,0.003799,0.001575,0.001575
59,0.004345,0.001801,0.001801
60,0.004965,0.002058,0.002058
61,0.005667,0.002441,0.00244071
62,0.006458,0.002885,0.002885144
63,0.00735,0.003401,0.003400524
64,0.008352,0.003996,0.003995518
65,0.009476,0.004681,0.004680731
66,0.010734,0.005467,0.005467391
67,0.012138,0.006367,0.006367323
68,0.013703,0.007395,0.007394552
69,0.015442,0.008563,0.008562728
70,0.017371,0.009888,0.009887795
71,0.019505,0.011386,0.011385852
72,0.021861,0.013075,0.013074843
73,0.024455,0.014973,0.014972836
74,0.027306,0.0171,0.017100418
75,0.030432,0.019478,0.01947832
76,0.033849,0.022127,0.022126648
77,0.037577,0.025069,0.025068722
78,0.041632,0.028326,0.028325862
79,0.046035,0.031923,0.031923327
80,0.0508,0.035882,0.03588213
81,0.055946,0.040227,0.040227175
82,0.061488,0.044981,0.044980959
83,0.067441,0.050166,0.050166256
84,0.073817,0.055804,0.055803822
85,0.080629,0.061915,0.06191525
86,0.087885,0.068518,0.068518324
87,0.095594,0.075631,0.075631447
88,0.103761,0.08327,0.083269667
89,0.112386,0.091444,0.091443615
90,0.12147,0.100164,0.100164168
91,0.131009,0.109437,0.109437481
92,0.140996,0.119266,0.119266412
93,0.15142,0.12965,0.129649513
94,0.162267,0.140582,0.140581705
95,0.173519,0.152053,0.152053267
96,0.185155,0.164051,0.164050555
97,0.19715,0.176555,0.176554995
98,0.209477,0.189545,0.18954475
99,0.222103,0.202991,0.202991015
100,0.234995,0.216863,0.216863347
101,0.248115,0.231125,0.231125071
102,0.261424,0.245737,0.245736895
103,0.274879,0.260654,0.260654103
104,0.288437,0.27583,0.275830303
105,0.302054,0.291217,0.29121655
106,0.315684,0.315684,0.306760431
107,0.32928,0.32928,0.322407064
108,0.342795,0.342795,0.338100149
109,0.356185,0.356185,0.35378505
110,0.369403,0.369403,0.369403
111,0.382406,0.382406,0.382406
112,0.39515,0.39515,0.39515
113,0.407594,0.407594,0.407594
114,0.4197,0.4197,0.4197
115,0.431431,0.431431,0.431431
116,0.442752,0.442752,0.442752
117,0.45363,0.45363,0.45363
118,0.464038,0.464038,0.464038
119,0.473947,0.473947,0.473947
120,1,1,1
